code,name,ipo_date,type,inst,codes,url,title,date,url1,filename
152854.SH,21绵兴债,2021-05-12,企业债,绵阳新兴投资控股有限公司,152854,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152854&announcementId=1209970350&orgId=fzqy1060925&announcementTime=2021-05-13,21绵兴债 : 2021年绵阳新兴投资控股有限公司公司债券募集说明书,2021-05-13,http://static.cninfo.com.cn/finalpage/2021-05-13/1209970350.pdf,[152854.SH]21绵兴债 : 2021年绵阳新兴投资控股有限公司公司债券募集说明书.pdf
152852.SH,21新泰01,2021-05-13,企业债,新泰市统筹城乡发展集团有限公司,152852,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152852&announcementId=1209931026&orgId=fzqy1055756&announcementTime=2021-04-26,21新泰01 : 2021年新泰市统筹城乡发展集团有限公司小微企业增信集合债券募集说明书,2021-04-26,http://static.cninfo.com.cn/finalpage/2021-04-26/1209931026.pdf,[152852.SH]21新泰01 : 2021年新泰市统筹城乡发展集团有限公司小微企业增信集合债券募集说明书.pdf
152848.SH,21丽旅01,2021-05-13,企业债,丽水市文化旅游投资发展有限公司,152848,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152848&announcementId=1209996953&orgId=fzqy1062041&announcementTime=2021-05-12,21丽旅01 : 2021年第一期丽水市文化旅游投资发展有限公司城市地下综合管廊建设专项债券募集说明书,2021-05-12,http://static.cninfo.com.cn/finalpage/2021-05-12/1209996953.pdf,[152848.SH]21丽旅01 : 2021年第一期丽水市文化旅游投资发展有限公司城市地下综合管廊建设专项债券募集说明书.pdf
152847.SH,21宁资01,2021-05-13,企业债,宁夏国有资本运营集团有限责任公司,152847,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152847&announcementId=1210311735&orgId=9900028924&announcementTime=2021-06-22,21宁资01 : 2021年第一期宁夏国有资本运营集团有限责任公司公司债券募集说明书,2021-06-22,http://static.cninfo.com.cn/finalpage/2021-06-22/1210311735.pdf,[152847.SH]21宁资01 : 2021年第一期宁夏国有资本运营集团有限责任公司公司债券募集说明书.pdf
152834.SH,21锡惠开,2021-05-13,企业债,无锡惠开经济发展集团有限公司,152834,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152834&announcementId=1210311737&orgId=9900032543&announcementTime=2021-06-22,21锡惠开 : 2021年江苏省无锡惠开经济发展集团有限公司公司债券募集说明书,2021-06-22,http://static.cninfo.com.cn/finalpage/2021-06-22/1210311737.pdf,[152834.SH]21锡惠开 : 2021年江苏省无锡惠开经济发展集团有限公司公司债券募集说明书.pdf
152882.SH,21郓城债,2021-05-13,企业债,郓城县水浒城市建设投资有限公司,152882,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152882&announcementId=1209970494&orgId=9900034182&announcementTime=2021-05-12,21郓城债 : 2021年郓城县水浒城市建设置业有限公司县城新型城镇化建设专项债券募集说明书,2021-05-12,http://static.cninfo.com.cn/finalpage/2021-05-12/1209970494.pdf,[152882.SH]21郓城债 : 2021年郓城县水浒城市建设置业有限公司县城新型城镇化建设专项债券募集说明书.pdf
152879.SH,21长湖债,2021-05-13,企业债,浙江长兴环太湖经济投资开发有限公司,152879,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152879&announcementId=1209996955&orgId=9900031091&announcementTime=2021-05-14,21长湖债 : 2021年浙江长兴环太湖经济投资开发有限公司公司债券募集说明书,2021-05-14,http://static.cninfo.com.cn/finalpage/2021-05-14/1209996955.pdf,[152879.SH]21长湖债 : 2021年浙江长兴环太湖经济投资开发有限公司公司债券募集说明书.pdf
152874.SH,21全椒债,2021-05-13,企业债,全椒全瑞投资控股集团有限公司,152874,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152874&announcementId=1209985223&orgId=-&announcementTime=2021-05-17,2021年全椒全瑞投资控股集团有限公司公司债券募集说明书,2021-05-17,http://static.cninfo.com.cn/finalpage/2021-05-17/1209985223.pdf,[152874.SH]2021年全椒全瑞投资控股集团有限公司公司债券募集说明书.pdf
152693.SH,21广益01,2021-05-13,企业债,成都东方广益投资有限公司,152693,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152693&announcementId=1209975281&orgId=fzqy1026419&announcementTime=2021-05-13,21广益01 : 2021年成都东方广益投资有限公司公司债券（第一期）募集说明书,2021-05-13,http://static.cninfo.com.cn/finalpage/2021-05-13/1209975281.pdf,[152693.SH]21广益01 : 2021年成都东方广益投资有限公司公司债券（第一期）募集说明书.pdf
152857.SH,21新城投,2021-05-13,企业债,新昌县城市建设投资集团有限公司,152857,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152857&announcementId=1209976830&orgId=fzqy1061368&announcementTime=2021-05-11,21新城投 : 2021年新昌县城市建设投资集团有限公司公司债券（第一期）募集说明书,2021-05-11,http://static.cninfo.com.cn/finalpage/2021-05-11/1209976830.pdf,[152857.SH]21新城投 : 2021年新昌县城市建设投资集团有限公司公司债券（第一期）募集说明书.pdf
152871.SH,21广鑫债,2021-05-13,企业债,广安鑫鸿投资控股有限公司,152871,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152871&announcementId=1209976762&orgId=9900035799&announcementTime=2021-05-12,21广鑫债 : 2021年广安鑫鸿投资控股有限公司公司债券募集说明书,2021-05-12,http://static.cninfo.com.cn/finalpage/2021-05-12/1209976762.pdf,[152871.SH]21广鑫债 : 2021年广安鑫鸿投资控股有限公司公司债券募集说明书.pdf
152577.SH,21虞新01,2021-05-18,企业债,绍兴市上虞杭州湾新区城市建设投资发展有限公司,152577,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152577&announcementId=1209973060&orgId=fzqy1056010&announcementTime=2021-05-14,21虞新01 : 2021年绍兴市上虞杭州湾新区城市建设投资发展有限公司公司债券（第一期）募集说明书,2021-05-14,http://static.cninfo.com.cn/finalpage/2021-05-14/1209973060.pdf,[152577.SH]21虞新01 : 2021年绍兴市上虞杭州湾新区城市建设投资发展有限公司公司债券（第一期）募集说明书.pdf
111103.SZ,21粤能01,2021-05-18,企业债,广东省能源集团有限公司,111103,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=111103&announcementId=1209757487&orgId=9900011188&announcementTime=2021-04-21,21粤能01 : 2021年第一期广东省能源集团有限公司绿色债券募集说明书,2021-04-21,http://static.cninfo.com.cn/finalpage/2021-04-21/1209757487.PDF,[111103.SZ]21粤能01 : 2021年第一期广东省能源集团有限公司绿色债券募集说明书.pdf
152792.SH,21家庐陵,2021-05-18,企业债,吉安市家庐陵投资开发有限公司,152792,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152792&announcementId=1210525764&orgId=fzqy1062516&announcementTime=2021-07-19,21家庐陵 : 2021年吉安市家庐陵投资开发有限公司公司债券募集说明书,2021-07-19,http://static.cninfo.com.cn/finalpage/2021-07-19/1210525764.pdf,[152792.SH]21家庐陵 : 2021年吉安市家庐陵投资开发有限公司公司债券募集说明书.pdf
