code,name,ipo_date,type,inst
177816.SH,G21定城1,2021/2/4,公司债,舟山市定海区城乡建设集团有限公司
177834.SH,G21红腾1,2021/2/5,公司债,贵州省盘州市红腾开发投资有限公司
177773.SH,G21惠投1,2021/2/8,公司债,南通市通州区惠通投资有限责任公司
132100007.IB,21交子金融GN001,2021/2/9,中期票据,成都交子金融控股集团有限公司
2180003.IB,21临川绿色债,2021/2/10,企业债,抚州市临川区城镇建设开发投资有限公司
132100009.IB,21中电投GN001,2021/2/10,中期票据,国家电力投资集团有限公司
132100010.IB,21四川机场GN001,2021/2/10,中期票据,四川省机场集团有限公司
132100011.IB,21南电GN001,2021/2/10,中期票据,中国南方电网有限责任公司
132100012.IB,21华能GN001,2021/2/10,中期票据,华能国际电力股份有限公司
132100013.IB,21雅砻江GN001,2021/2/10,中期票据,雅砻江流域水电开发有限公司
132100014.IB,21三峡GN001,2021/2/10,中期票据,中国长江三峡集团有限公司
114925.SZ,21达发01,2021/2/19,公司债,达州发展(控股)有限责任公司
114934.SZ,21奉农G1,2021/2/22,公司债,宁波市奉化区农商发展集团有限公司
177891.SH,21婺城01,2021/2/22,公司债,金华市婺城区城乡建设投资集团有限公司
179273.SH,G兰交优2,2021/2/23,资产支持证券,兰州城乡公交运营管理有限公司
179274.SH,G兰交优3,2021/2/23,资产支持证券,兰州城乡公交运营管理有限公司
179275.SH,G兰交优4,2021/2/23,资产支持证券,兰州城乡公交运营管理有限公司
179276.SH,G兰交优5,2021/2/23,资产支持证券,兰州城乡公交运营管理有限公司
179277.SH,G兰交次,2021/2/23,资产支持证券,兰州城乡公交运营管理有限公司
177769.SH,G21苏科1,2021/3/4,公司债,江苏中关村科技产业园控股集团有限公司
175782.SH,GC电投01,2021/3/4,公司债,国家电力投资集团有限公司
175787.SH,GC华能01,2021/3/4,公司债,中国华能集团有限公司
175789.SH,GC国能01,2021/3/4,公司债,国家能源投资集团有限责任公司
169226.SH,PR0能投A,2021/3/4,资产支持证券,中能建投(天津)新能源产业投资基金合伙企业(有限合伙)
169227.SH,G20能投B,2021/3/4,资产支持证券,中能建投(天津)新能源产业投资基金合伙企业(有限合伙)
179499.SH,PR金华A2,2021/3/4,资产支持证券,金华市公交集团有限公司
