code,name,ipo_date,type,inst
185145.SH,21上唐03,2021-12-28,公司债,上海大唐融资租赁有限公司
185146.SH,21石化S1,2021-12-27,公司债,中国石油化工集团有限公司
185148.SH,21国新06,2021-12-22,公司债,中国国新控股有限责任公司
185151.SH,GC国铁02,2021-12-31,公司债,中国铁路投资有限公司
185152.SH,21海控02,2021-12-28,公司债,海南省发展控股有限公司
185153.SH,21交建Y3,2021-12-23,公司债,中国交通建设股份有限公司
185154.SH,21金隅Y2,2021-12-27,公司债,北京金隅集团股份有限公司
185156.SH,21交建Y4,2021-12-23,公司债,中国交通建设股份有限公司
185157.SH,21铁投Y1,2021-12-29,公司债,中国铁建投资集团有限公司
185159.SH,21铁投Y2,2021-12-29,公司债,中国铁建投资集团有限公司
185160.SH,21泰交G4,2021-12-27,公司债,泰州市交通产业集团有限公司
185161.SH,21龙川G4,2021-12-27,公司债,扬州龙川控股集团有限责任公司
185163.SH,21恒信G5,2021-12-29,公司债,海通恒信国际融资租赁股份有限公司
185165.SH,21上航Y1,2021-12-27,公司债,中交上海航道局有限公司
185166.SH,21汽车G1,2021-12-22,公司债,广汇汽车服务有限责任公司
185168.SH,21三航Y1,2021-12-24,公司债,中交第三航务工程局有限公司
185170.SH,21蓉高Y2,2021-12-31,公司债,成都高新投资集团有限公司
